Graph 1
N       Best solution                                   Num. Operations         Time AVG (s)
12      (0, 1, 4, 5, 8, 9)                              38002                   0.0
13      (0, 3, 4, 5, 6, 7)                              119965                  0.031240224838256836
14      (0, 1, 5, 7, 8, 9, 11, 13)                      115383                  0.015616416931152344
15      (0, 1, 2, 3, 8, 10, 12)                         335012                  0.0781095027923584
16      (0, 2, 3, 4, 6, 9, 11, 14, 15)                  215256                  0.04686427116394043
17      (0, 1, 3, 9, 12, 13, 16)                        1416499                 0.3905339241027832
18      (0, 1, 4, 5, 8, 9, 12, 17)                      3991736                 0.9372763633728027
19      (0, 1, 2, 3, 8, 9, 10, 14, 16)                  6852745                 1.765207052230835
20      (4, 5, 6, 7, 8, 9, 11, 13)                      16745111                4.467668056488037
Graph 2
N       Best solution                                   Num. Operations         Time AVG (s)
12      (0, 1, 4, 5, 8, 9)                              23682                   0.0
13      (0, 3, 4, 5, 6, 7)                              79336                   0.03127646446228027
14      (0, 1, 5, 7, 8, 9, 11, 13)                      80682                   0.03124260902404785
15      (0, 1, 2, 3, 8, 10, 12)                         223651                  0.07807016372680664
16      (0, 2, 3, 4, 6, 9, 11, 14, 15)                  142577                  0.06251883506774902
17      (0, 1, 3, 9, 12, 13, 16)                        893993                  0.29683399200439453
18      (0, 1, 4, 5, 8, 9, 12, 17)                      2626359                 0.85917067527771
19      (0, 1, 2, 3, 8, 9, 10, 14, 16)                  4736959                 1.7496228218078613
20      (4, 5, 6, 7, 8, 9, 11, 13)                      10360862                4.99882173538208
Graph 3
N       Best solution                                   Num. Operations         Time AVG (s)
12      (0, 1, 4, 5, 8, 9)                              15694                   0.015619039535522461
13      (0, 3, 4, 5, 6, 7)                              67148                   0.015622377395629883
14      (0, 1, 5, 7, 8, 9, 11, 13)                      72118                   0.031246662139892578
15      (0, 1, 2, 3, 8, 10, 12)                         154850                  0.0624852180480957
16      (0, 2, 3, 4, 6, 9, 11, 14, 15)                  128419                  0.04686546325683594
17      (0, 1, 3, 9, 12, 13, 16)                        446466                  0.20307445526123047
18      (0, 1, 4, 5, 8, 9, 12, 17)                      1772604                 0.7029602527618408
19      (0, 1, 2, 3, 8, 9, 10, 14, 16)                  3996374                 1.4839916229248047
20      (0, 1, 2, 10, 11, 15, 16)                       8039744                 3.5460386276245117
Graph 4
N       Best solution                                   Num. Operations         Time AVG (s)
12      (2, 3, 4, 6, 8, 9)                              9099                    0.015622854232788086
13      (3, 4, 5, 6, 11)                                12454                   0.015586376190185547
14      (0, 1, 5, 7, 8, 9, 12, 13)                      4562                    0.015642881393432617
15      (0, 2, 3, 9, 10, 12)                            11396                   0.015657424926757812
16      (4, 6, 7, 8, 11, 13, 14)                        6633                    0.01562190055847168
17      (1, 2, 4, 13, 14, 16)                           8822                    0.015656471252441406
18      (0, 1, 9, 11, 12, 14, 17)                       13276                   0.031243324279785156
19      (1, 2, 3, 8, 9, 10, 14, 16)                     15554                   0.015620946884155273
20      (1, 2, 11, 16)                                  13149                   0.03124237060546875
